Trip ID,Destination,Duration (days),Mode of Transportation,Accommodation Type,Overall Expenses ($)
233,New York,6,Bus,Hotel,3644
234,Tokyo,11,Train,Hotel,1049
235,London,7,Airplane,Hostel,2642
236,New York,2,Airplane,Airbnb,4179
237,Amsterdam,1,Car Rental,Hostel,2624
238,Barcelona,3,Bus,Airbnb,1093
239,New York,6,Train,Hotel,4751
240,Berlin,2,Airplane,Hostel,3476
241,Sydney,1,Bus,Airbnb,3601
242,Sydney,5,Airplane,Hostel,2002
243,Berlin,11,Airplane,Hostel,4559
244,Sydney,3,Airplane,Airbnb,2431
245,London,1,Airplane,Airbnb,2479
246,San Francisco,3,Bus,Hotel,3294
247,New York,7,Bus,Hostel,1558
248,Tokyo,11,Train,Airbnb,4780
249,San Francisco,13,Airplane,Airbnb,4213
250,San Francisco,12,Train,Hotel,1517
251,San Francisco,8,Car Rental,Hotel,3443
252,Paris,6,Bus,Airbnb,4204
253,Sydney,8,Bus,Airbnb,2086
254,San Francisco,13,Bus,Hostel,1775
255,New York,7,Car Rental,Hostel,3370
256,Paris,11,Car Rental,Hostel,2465
257,Rome,8,Train,Hotel,4924
258,Amsterdam,2,Train,Airbnb,4539
259,Paris,10,Car Rental,Airbnb,3970
260,London,5,Airplane,Airbnb,4722
261,New York,13,Train,Airbnb,2886
262,Amsterdam,12,Bus,Hostel,3512
263,Sydney,1,Bus,Hotel,4325
264,Tokyo,7,Train,Airbnb,1814
265,Sydney,9,Car Rental,Hotel,3151
266,San Francisco,9,Airplane,Hotel,4990
267,Tokyo,4,Train,Airbnb,1236
268,Berlin,2,Train,Hotel,3493
269,New York,9,Train,Airbnb,2651
270,New York,6,Airplane,Hostel,1520
271,London,2,Airplane,Hotel,4509
272,Amsterdam,14,Car Rental,Hostel,4302
273,Sydney,9,Airplane,Airbnb,4958
274,Sydney,1,Train,Airbnb,1315
275,Barcelona,4,Train,Hostel,2936
276,New York,3,Bus,Airbnb,4031
277,Berlin,5,Car Rental,Airbnb,3758
278,London,3,Bus,Airbnb,4196
279,San Francisco,12,Bus,Airbnb,4808
280,Barcelona,3,Car Rental,Hotel,2467
281,Paris,10,Bus,Airbnb,2986
282,Sydney,4,Bus,Hotel,1604
283,Amsterdam,9,Train,Hotel,4255
284,New York,3,Airplane,Hostel,1355
285,Amsterdam,2,Bus,Hotel,4782
286,Sydney,11,Train,Airbnb,1182
287,San Francisco,4,Bus,Hotel,1579
288,San Francisco,14,Bus,Hostel,1626
289,San Francisco,4,Bus,Hostel,3456
290,New York,10,Airplane,Airbnb,1244
291,Amsterdam,14,Airplane,Hotel,1331
292,Amsterdam,9,Car Rental,Hotel,1636
293,Paris,1,Car Rental,Hostel,1805
294,Rome,14,Train,Hotel,4454
295,Barcelona,8,Car Rental,Hotel,1336
296,Berlin,7,Bus,Hostel,1971
297,Barcelona,8,Airplane,Hostel,1087
298,Berlin,4,Train,Hotel,1326
299,Barcelona,13,Train,Hotel,3874
300,Rome,9,Car Rental,Airbnb,1899
301,Barcelona,7,Bus,Airbnb,2711
302,Sydney,3,Airplane,Airbnb,3533
303,London,8,Airplane,Hostel,1322
304,San Francisco,7,Bus,Airbnb,3071
305,Sydney,2,Bus,Hotel,2086
306,Berlin,1,Bus,Hostel,4772
307,Berlin,9,Train,Hotel,1285
308,Amsterdam,8,Car Rental,Airbnb,4250
309,London,8,Train,Airbnb,4624
310,New York,3,Train,Airbnb,4389
311,Berlin,12,Train,Airbnb,1552
312,Tokyo,3,Car Rental,Hotel,4532
313,Tokyo,5,Car Rental,Hostel,1178
314,Amsterdam,12,Train,Airbnb,4137
315,Amsterdam,10,Bus,Hostel,1859
316,Amsterdam,5,Train,Airbnb,3492
317,Amsterdam,3,Bus,Hotel,2132
318,Barcelona,7,Airplane,Airbnb,2773
319,Barcelona,5,Bus,Hotel,4821
320,New York,4,Bus,Airbnb,2277
321,Berlin,7,Bus,Hotel,1431
322,London,9,Car Rental,Hostel,1314
323,Berlin,9,Bus,Hotel,1451
324,Amsterdam,4,Train,Hotel,1071
325,London,1,Bus,Hostel,3107
326,Paris,14,Train,Hostel,3512
327,London,3,Bus,Airbnb,4979
328,Tokyo,1,Bus,Airbnb,1501
329,Berlin,6,Bus,Hotel,2938
330,London,4,Bus,Airbnb,3132
331,Sydney,5,Train,Hotel,4477
332,Tokyo,2,Train,Airbnb,2737
333,Barcelona,7,Car Rental,Hostel,4438
334,Paris,11,Bus,Hotel,3124
335,Amsterdam,6,Car Rental,Hotel,4623
336,Berlin,8,Car Rental,Hotel,1498
337,Paris,13,Car Rental,Hotel,4303
338,Barcelona,9,Train,Hotel,3784
339,Sydney,1,Car Rental,Airbnb,2647
340,Sydney,13,Bus,Airbnb,1381
341,Sydney,8,Airplane,Hostel,1154
342,San Francisco,11,Car Rental,Hotel,4159
343,Berlin,13,Bus,Hostel,1081
344,Amsterdam,11,Car Rental,Hostel,1767
345,Amsterdam,4,Bus,Hostel,2398
346,Sydney,2,Airplane,Hostel,2010
347,Amsterdam,4,Bus,Hotel,2568
348,San Francisco,1,Train,Hostel,4212
349,San Francisco,2,Train,Airbnb,4274
350,Amsterdam,5,Bus,Airbnb,3997
351,London,1,Airplane,Airbnb,1654
352,San Francisco,9,Bus,Hotel,1974
353,Sydney,1,Car Rental,Hostel,4231
354,Amsterdam,14,Bus,Hotel,4712
355,London,4,Airplane,Hotel,1707
356,San Francisco,10,Bus,Hotel,3485
357,London,4,Bus,Hotel,2776
358,Rome,14,Train,Airbnb,2791
359,Berlin,1,Airplane,Hostel,2976
360,Amsterdam,13,Train,Airbnb,1688
361,Barcelona,6,Car Rental,Hostel,1498
362,New York,1,Bus,Hotel,2284
363,Berlin,4,Car Rental,Airbnb,4833
364,Barcelona,13,Train,Hotel,1229
365,Paris,10,Train,Hostel,1760
366,Barcelona,10,Airplane,Airbnb,4352
367,Tokyo,13,Train,Hostel,2226
368,Paris,3,Car Rental,Hostel,1484
369,London,2,Car Rental,Airbnb,1495
370,London,5,Car Rental,Hotel,1754
371,Rome,2,Train,Airbnb,2691
372,Tokyo,6,Bus,Hotel,4740
373,Tokyo,13,Bus,Hostel,3684
374,San Francisco,9,Airplane,Airbnb,2540
375,Sydney,3,Bus,Hotel,4627
376,Paris,3,Airplane,Hotel,4099
377,Berlin,4,Airplane,Hostel,4693
378,San Francisco,6,Bus,Hotel,1178
379,Amsterdam,12,Train,Hotel,2442
380,Berlin,8,Train,Airbnb,4345
381,Tokyo,7,Train,Airbnb,2607
382,San Francisco,3,Bus,Hostel,4327
383,Amsterdam,9,Airplane,Hostel,4397
384,Rome,4,Bus,Airbnb,1772
385,Sydney,9,Car Rental,Airbnb,2223
386,Sydney,9,Car Rental,Hostel,4428
387,Rome,3,Train,Hostel,2076
388,Rome,1,Airplane,Hotel,2229
389,New York,7,Train,Hotel,4694
390,San Francisco,3,Airplane,Airbnb,1060
391,San Francisco,6,Car Rental,Hotel,4074
392,Paris,2,Airplane,Hostel,2232
393,San Francisco,5,Train,Airbnb,2328
394,Paris,10,Bus,Hotel,1387
395,San Francisco,7,Bus,Airbnb,1892
396,Rome,7,Car Rental,Airbnb,4174
397,New York,12,Train,Airbnb,3139
398,Amsterdam,8,Bus,Hostel,3140
399,Barcelona,13,Airplane,Hostel,2996
400,Amsterdam,9,Airplane,Airbnb,1982
401,Barcelona,4,Airplane,Hostel,2697
402,New York,10,Train,Hotel,3287
403,Barcelona,2,Car Rental,Airbnb,3149
404,Tokyo,3,Car Rental,Hostel,3228
405,Paris,3,Airplane,Airbnb,2207
406,Paris,5,Train,Hostel,2239
407,Paris,12,Airplane,Hostel,4343
408,Berlin,6,Train,Airbnb,1112
409,Tokyo,9,Bus,Airbnb,1480
410,London,6,Car Rental,Airbnb,1435
411,Paris,7,Bus,Hostel,1270
412,San Francisco,7,Car Rental,Hostel,4678
413,Barcelona,2,Bus,Hotel,1155
414,London,1,Bus,Airbnb,4538
415,Tokyo,2,Airplane,Airbnb,3282
416,London,3,Train,Hostel,3751
417,London,9,Train,Hotel,3680
418,San Francisco,14,Airplane,Airbnb,3428
419,Berlin,14,Airplane,Airbnb,2179
420,Paris,8,Train,Airbnb,3382
421,Rome,3,Car Rental,Airbnb,3781
422,Barcelona,3,Bus,Airbnb,1284
423,Sydney,5,Bus,Airbnb,1713
424,Berlin,5,Bus,Hostel,1401
425,London,7,Car Rental,Hostel,2167
426,London,2,Car Rental,Airbnb,2829
427,Berlin,3,Car Rental,Hostel,3747
428,Sydney,10,Train,Airbnb,3749
429,Rome,11,Car Rental,Airbnb,2610
430,Rome,12,Bus,Airbnb,1784
431,San Francisco,8,Train,Airbnb,4582
432,Berlin,14,Airplane,Airbnb,4168
433,Sydney,4,Bus,Hostel,3062
434,Rome,7,Airplane,Hostel,3930
435,Amsterdam,4,Train,Hotel,1757
436,San Francisco,9,Bus,Hotel,3930
437,Sydney,9,Airplane,Hotel,3077
438,Tokyo,14,Car Rental,Airbnb,2359
439,Tokyo,1,Bus,Hotel,1778
440,Berlin,12,Bus,Airbnb,1187
441,Tokyo,6,Car Rental,Hotel,3981
442,Rome,1,Car Rental,Airbnb,1729
443,Berlin,6,Airplane,Hotel,2636
444,Berlin,10,Bus,Airbnb,4503
445,Sydney,13,Train,Hotel,1995
446,Sydney,14,Airplane,Airbnb,3814
447,Berlin,10,Car Rental,Airbnb,4260
448,Sydney,4,Bus,Airbnb,4422
449,London,14,Train,Hostel,2172
450,Amsterdam,4,Car Rental,Hostel,4745
451,London,2,Train,Hotel,4372
452,Sydney,6,Car Rental,Airbnb,4376
453,Sydney,3,Airplane,Airbnb,2605
454,New York,12,Car Rental,Hostel,1714
455,Sydney,3,Airplane,Hostel,3199
456,Berlin,8,Train,Airbnb,3576
457,Rome,6,Bus,Airbnb,4592
458,Tokyo,10,Train,Hotel,3870
459,Barcelona,12,Car Rental,Hotel,2874
460,San Francisco,5,Airplane,Hotel,2112
461,Berlin,6,Bus,Airbnb,2696
462,London,2,Bus,Hostel,3825
463,Sydney,11,Airplane,Hotel,3178
464,London,12,Train,Airbnb,3894
465,New York,11,Airplane,Hostel,1555
466,Paris,5,Car Rental,Hostel,3118
467,New York,5,Airplane,Hostel,2845
468,San Francisco,9,Car Rental,Airbnb,4635
469,London,10,Car Rental,Hotel,2492
470,Amsterdam,3,Train,Airbnb,2111
471,Barcelona,14,Train,Airbnb,3042
472,Sydney,10,Bus,Airbnb,1535
473,Sydney,14,Bus,Airbnb,4806
474,Rome,11,Train,Hostel,2903
475,Paris,8,Train,Hostel,3720
476,Rome,13,Airplane,Airbnb,3304
477,Sydney,7,Car Rental,Hotel,3413
478,Tokyo,13,Airplane,Hotel,1423
479,Tokyo,3,Bus,Hostel,4418
480,New York,13,Car Rental,Airbnb,4037
481,New York,2,Airplane,Hotel,4690
482,Barcelona,14,Bus,Hotel,1378
483,Barcelona,6,Train,Airbnb,1431
484,Barcelona,11,Bus,Hotel,1860
485,Sydney,12,Bus,Hotel,2705
486,Berlin,9,Car Rental,Hostel,2436
487,Sydney,2,Bus,Hotel,1887
488,Tokyo,10,Airplane,Airbnb,1034
489,Paris,3,Bus,Hotel,4057
490,Paris,4,Airplane,Hotel,4619
491,Sydney,9,Car Rental,Hostel,1803
492,Rome,7,Airplane,Hostel,3542
493,Amsterdam,7,Car Rental,Hostel,1665
494,Tokyo,8,Bus,Airbnb,2160
495,London,7,Airplane,Hotel,2589
496,Amsterdam,8,Bus,Hostel,1512
497,Paris,1,Bus,Hostel,2662
498,London,5,Train,Airbnb,3601
499,Barcelona,8,Train,Hostel,1506
500,Berlin,8,Airplane,Hostel,1324
501,Sydney,11,Train,Hotel,1912
502,Amsterdam,14,Airplane,Hotel,1483
503,Rome,7,Car Rental,Airbnb,3499
504,Sydney,3,Car Rental,Airbnb,3509
505,Paris,5,Car Rental,Hostel,1307
506,Tokyo,8,Bus,Hostel,4991
507,New York,3,Train,Airbnb,2638
508,Rome,14,Car Rental,Hostel,2158
509,Tokyo,10,Airplane,Airbnb,2171
510,Amsterdam,3,Car Rental,Hostel,4570
511,Sydney,11,Airplane,Airbnb,3352
512,Amsterdam,10,Train,Hostel,2176
513,London,8,Airplane,Hostel,2918
514,Barcelona,12,Bus,Airbnb,1555
515,Amsterdam,10,Train,Hostel,4959
516,London,11,Car Rental,Airbnb,2607
517,Amsterdam,4,Bus,Hostel,3162
518,Paris,11,Airplane,Hotel,2030
519,Amsterdam,6,Car Rental,Hotel,4551
520,Barcelona,8,Train,Airbnb,4099
521,San Francisco,5,Bus,Airbnb,4459
522,Berlin,1,Airplane,Hotel,3277
523,Amsterdam,9,Airplane,Airbnb,1963
524,Amsterdam,4,Bus,Hotel,3411
525,Paris,6,Train,Airbnb,4551
526,London,13,Car Rental,Hotel,1737
527,New York,8,Train,Hostel,3154
528,San Francisco,1,Train,Hostel,1679
529,London,11,Bus,Hotel,1774
530,Berlin,1,Airplane,Airbnb,2019
531,Berlin,14,Bus,Hotel,1403
532,Barcelona,2,Bus,Hotel,3444
533,Sydney,10,Bus,Airbnb,3408
534,Barcelona,5,Bus,Airbnb,4120
535,London,10,Car Rental,Hotel,3437
536,Paris,11,Airplane,Hostel,1216
537,Tokyo,14,Car Rental,Hotel,4020
538,Tokyo,13,Airplane,Hotel,1531
539,Barcelona,6,Car Rental,Airbnb,1375
540,Sydney,2,Bus,Airbnb,3457
541,Paris,6,Train,Hotel,3837
542,San Francisco,10,Car Rental,Hotel,1748
543,San Francisco,6,Bus,Hotel,3226
544,Sydney,9,Bus,Hotel,1530
545,Amsterdam,2,Train,Airbnb,3229
546,Amsterdam,13,Airplane,Hostel,3810
547,Paris,1,Car Rental,Hostel,3863
548,New York,13,Bus,Airbnb,2312
549,New York,3,Train,Hotel,1234
550,London,2,Train,Airbnb,3032
551,Berlin,12,Airplane,Airbnb,2354
552,Tokyo,8,Bus,Airbnb,2080
553,Rome,11,Airplane,Airbnb,3401
554,Rome,7,Airplane,Hotel,1816
555,Barcelona,1,Car Rental,Hostel,3401
556,Rome,4,Airplane,Hostel,1808
557,New York,8,Train,Hotel,3369
558,Rome,13,Train,Hostel,1303
559,Berlin,3,Bus,Airbnb,3880
560,Barcelona,14,Airplane,Hotel,4652
561,Rome,10,Car Rental,Airbnb,3705
562,New York,3,Airplane,Hotel,2577
563,London,7,Car Rental,Airbnb,4844
564,Barcelona,3,Bus,Hotel,3551
565,Barcelona,8,Bus,Airbnb,4454
566,Rome,2,Train,Airbnb,3020
567,Tokyo,6,Car Rental,Airbnb,3701
568,Barcelona,3,Train,Hostel,2451
569,Sydney,13,Bus,Airbnb,4133
570,Tokyo,1,Car Rental,Hotel,4055
571,Berlin,7,Bus,Hotel,1134
572,Sydney,12,Airplane,Hotel,1821
573,Paris,8,Car Rental,Hotel,1943
574,Tokyo,2,Airplane,Hostel,4057
575,Amsterdam,7,Airplane,Airbnb,3962
576,London,9,Car Rental,Hostel,2156
577,Amsterdam,10,Bus,Hostel,3166
578,San Francisco,5,Train,Hostel,4228
579,Barcelona,2,Car Rental,Hostel,1083
580,Tokyo,1,Bus,Airbnb,4967
581,Rome,6,Train,Hostel,2333
582,Sydney,4,Car Rental,Airbnb,1201
583,Berlin,5,Airplane,Airbnb,1161
584,Rome,1,Train,Hostel,1951
585,Sydney,4,Car Rental,Airbnb,1007
586,Sydney,3,Bus,Hostel,2864
587,London,8,Airplane,Hostel,1109
588,Paris,9,Car Rental,Hotel,3459
589,San Francisco,9,Airplane,Airbnb,1916
590,Barcelona,3,Train,Airbnb,3273
591,Sydney,6,Bus,Hotel,4900
592,Rome,6,Train,Airbnb,1414
593,Amsterdam,6,Car Rental,Hostel,3398
594,Rome,11,Bus,Hostel,4467
595,Tokyo,4,Car Rental,Hotel,3280
596,Amsterdam,10,Train,Hostel,3132
597,Barcelona,3,Train,Hotel,4212
598,Berlin,6,Train,Airbnb,1947
599,Tokyo,13,Bus,Hotel,2702
600,Berlin,14,Airplane,Airbnb,2007
601,Sydney,3,Bus,Hotel,2356
602,San Francisco,9,Airplane,Hotel,1886
603,Barcelona,5,Bus,Hotel,1203
604,New York,12,Bus,Airbnb,3535
605,London,2,Train,Airbnb,2665
606,Amsterdam,1,Airplane,Airbnb,3753
607,Sydney,4,Train,Airbnb,1261
608,Rome,9,Bus,Hostel,2456
609,Sydney,13,Car Rental,Hostel,4585
610,New York,6,Train,Airbnb,1276
611,San Francisco,12,Bus,Hotel,4158
612,San Francisco,6,Airplane,Hotel,2915
613,Paris,6,Car Rental,Hotel,2779
614,Rome,1,Airplane,Airbnb,4716
615,London,1,Train,Airbnb,2621
616,San Francisco,6,Airplane,Hostel,2998
617,San Francisco,13,Car Rental,Hostel,2903
618,Amsterdam,8,Bus,Airbnb,2288
619,Barcelona,11,Bus,Airbnb,1585
620,Berlin,6,Train,Airbnb,2154
621,London,7,Bus,Airbnb,1231
622,Paris,4,Train,Hostel,3063
623,Amsterdam,5,Car Rental,Airbnb,3625
624,San Francisco,8,Train,Hotel,2825
625,Rome,3,Car Rental,Hostel,3410
626,Barcelona,11,Airplane,Hostel,2290
627,Berlin,5,Car Rental,Airbnb,1592
628,Barcelona,4,Car Rental,Airbnb,4859
629,Barcelona,1,Airplane,Airbnb,2907
630,San Francisco,7,Bus,Hostel,1806
631,Tokyo,12,Car Rental,Hotel,4762
632,San Francisco,13,Train,Hotel,3722
633,Tokyo,11,Train,Hostel,2085
634,Barcelona,3,Bus,Hotel,4129
635,Amsterdam,4,Car Rental,Hostel,1472
636,Tokyo,3,Bus,Airbnb,2755
637,Sydney,7,Car Rental,Hotel,2743
638,Berlin,12,Train,Hotel,3142
639,Sydney,3,Airplane,Hostel,1693
640,Barcelona,9,Airplane,Airbnb,1338
641,Tokyo,12,Bus,Airbnb,2839
